split,policy,threshold,tn,fp,fn,tp,sensitivity,specificity,precision,negative_predictive_value,f1,accuracy,youden_j
validation,default_0.5,0.5,1315,60,116,1264,0.9159420289855073,0.9563636363636364,0.9546827794561934,0.9189378057302585,0.9349112426035503,0.9361161524500907,0.8723056653491437
validation,selected,0.28500000000000003,1241,134,54,1326,0.9608695652173913,0.9025454545454545,0.9082191780821918,0.9583011583011583,0.9338028169014084,0.9317604355716879,0.8634150197628458
test,default_0.5,0.5,1363,49,108,1237,0.9197026022304833,0.9652974504249292,0.9618973561430794,0.9265805574439157,0.9403268719118205,0.9430540442509975,0.8850000526554125
test,selected,0.28500000000000003,1306,106,54,1291,0.9598513011152416,0.9249291784702549,0.9241231209735147,0.9602941176470589,0.9416484318016047,0.9419659049691694,0.8847804795854965
