corruption,sample_count,review_rate,quality_pass_rate,mean_score,tn,fp,fn,tp,accuracy,sensitivity,specificity,precision,f1
clean,60,0.05,1.0,0.46957488609490006,28,2,1,29,0.95,0.9666666666666667,0.9333333333333333,0.9354838709677419,0.9508196721311476
gaussian_blur,60,1.0,0.0,0.730308240698029,8,22,0,30,0.6333333333333333,1.0,0.26666666666666666,0.5769230769230769,0.7317073170731707
gaussian_noise,60,0.11666666666666667,1.0,0.32063129578406613,29,1,9,21,0.8333333333333334,0.7,0.9666666666666667,0.9545454545454546,0.8076923076923077
jpeg_compression,60,0.06666666666666667,1.0,0.6160884193957858,19,11,0,30,0.8166666666666667,1.0,0.6333333333333333,0.7317073170731707,0.8450704225352113
low_contrast,60,1.0,0.0,0.38226155221806646,28,2,4,26,0.9,0.8666666666666667,0.9333333333333333,0.9285714285714286,0.896551724137931
overexposed,60,0.05,1.0,0.5554796402469807,26,4,0,30,0.9333333333333333,1.0,0.8666666666666667,0.8823529411764706,0.9375
underexposed,60,1.0,0.0,0.40143763056160725,29,1,4,26,0.9166666666666666,0.8666666666666667,0.9666666666666667,0.9629629629629629,0.912280701754386
