metric,point_estimate,ci_lower_95,ci_upper_95,bootstrap_std
accuracy,0.9419659049691694,0.9336235038084875,0.9506710192237939,0.00439200905955555
sensitivity,0.9598513011152416,0.9494423791821561,0.9695167286245353,0.005286241157793781
specificity,0.9249291784702549,0.9107648725212465,0.9383852691218131,0.006936930489669383
precision,0.9241231209735147,0.9113470810187612,0.9370944118089601,0.006493111096664853
f1,0.9416484318016046,0.9334298118668596,0.9500569832246946,0.004343710915535744
roc_auc,0.982195888665396,0.9775861113451352,0.986471218551555,0.002224198047831113
pr_auc,0.9804612915479497,0.9727377262835353,0.9864220192039459,0.0034686535982415274
